2456818.37147,predict_detail.php?STARNAME=WASP-18&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-18,Phe,11:08,46°,W,56817.9643,09.06. 12:12,42°,W,56818.0090,13:17,39°,SW,56818.0536,128.6,9.29,0.0108,54221.48163+0.94145299*E,01 37 24.95,-45 40 40.8
predict_detail.php?STARNAME=OGLE-TR-113&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-113,Car,12:04,68°,NE,56818.0031,09.06. 13:00,71°,NE,56818.0420,13:56,73°,NE,56818.0809,112,14.42,0.0245,52325.79823+1.4324757*E,10 52 24,-61 26 48
predict_detail.php?STARNAME=OGLE-TR-132&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-132,Car,12:04,68°,NE,56818.0034,09.06. 13:17,71°,NE,56818.0541,14:30,73°,N,56818.1048,146,15.72,0.0087,53142.5912+1.689868*E,10 50 34.72,-61 57 25.9
predict_detail.php?STARNAME=WASP-5&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-5,Phe,17:12,29°,S,56818.2169,09.06. 18:23,30°,SE,56818.2663,19:34,33°,SE,56818.3156,142.128,12.3,0.0137,54373.99598+1.6284279*E,23 57 23.74,-41 16 37.5
predict_detail.php?STARNAME=OGLE-TR-10&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-10,Sgr,17:45,34°,E,56818.2399,09.06. 19:05,37°,NE,56818.2958,20:26,40°,NE,56818.3516,160.8,14.93,0.0111,53890.678+3.10129*E,17 51 28,-29 52 34
predict_detail.php?STARNAME=WASP-46&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-46,Ind,20:37,57°,E,56818.3596,09.06. 21:27,59°,E,56818.3944,22:18,62°,NE,56818.4293,100.4,12.9,0.0204,55392.31553+1.43037*E,21 14 56.86,-55 52 18.1
predict_detail.php?STARNAME=WASP-19&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-19,Vel,21:36,39°,SW,56818.4005,09.06. 22:22,37°,SW,56818.4325,23:09,35°,SW,56818.4646,92.4,12.3,0.0215,54775.3372+0.7888399*E,09 53 40.077,-45 39 33.06
predict_detail.php?STARNAME=OGLE-TR-56&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-56,Sgr,23:31,41°,NW,56818.4800,10.06. 0:25,39°,NW,56818.5176,1:19,37°,NW,56818.5552,108.2,16.6,0.0171,53936.598+1.211909*E,17 56 35.51,-29 32 21.2
predict_detail.php?STARNAME=WASP-22&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-22,Eri,1:02,20°,E,56818.5432,10.06. 2:40,25°,E,56818.6117,4:19,30°,NE,56818.6802,197.3,12,0.0108,54780.2496+3.53269*E,03 31 16.3,-23 49 10.0
predict_detail.php?STARNAME=OGLE-TR-111&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-111,Car,1:25,49°,S,56818.5593,10.06. 2:47,48°,S,56818.6164,4:09,49°,S,56818.6736,164.6,15.55,0.0173,53799.7516+4.0144479*E,10 53 17.91,-61 24 20.3
predict_detail.php?STARNAME=WASP-75&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-75,Aqr,2:53,23°,N,56818.6201,10.06. 3:52,22°,N,56818.6612,4:51,21°,NW,56818.7023,118.37,11.45,0.0116,56016.2669+2.484193*E,22 49 32.57,-10 40 32.0 
predict_detail.php?STARNAME=LUPUS-TR3&PLANET=b&delka=38.8526&sirka=-77.3044,LUPUS-TR3,Lup,3:40,34°,SW,56818.6532,10.06. 4:55,32°,SW,56818.7052,6:10,30°,S,56818.7573,150,17,0.0148,53887.0818+3.91405*E,15 30 18.7,-42 58 41.5
predict_detail.php?STARNAME=OGLE-TR-211&PLANET=b&delka=38.8526&sirka=-77.3044,OGLE-TR-211,Car,3:15,49°,S,56818.6355,10.06. 5:06,51°,SE,56818.7126,6:57,54°,SE,56818.7897,222,14.3,0.0084,53406.271+3.6772*E,10 40 14.51,-62 27 19.8
predict_detail.php?STARNAME=WASP-29&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-29,Phe,3:58,51°,N,56818.6654,10.06. 5:16,50°,N,56818.7200,6:35,48°,NW,56818.7745,157,11.3,0.0108,54249.3305+3.922732*E,23 51 31.08,-39 54 24.2
predict_detail.php?STARNAME=WASP-23&PLANET=b&delka=38.8526&sirka=-77.3044,WASP-23,Pup,6:52,47°,E,56818.7864,10.06. 8:04,50°,NE,56818.8363,9:16,53°,NE,56818.8862,143.7,12.68,0.0215,55320.12363+2.9444256*E,06 44 30.50,-42 45 41.2
