Subject, Start Date, Start Time, End Date, End Time, All Day Event, Description, Location, Private
WASP-19 (mag=0.0215),5/25/14,02:38:07 AM,5/25/14,04:50:25 AM,False,"WASP-19; Prediction URL: 'predict_detail.php?STARNAME=WASP-19&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 32°S,2456802.6237; End Transit: 33°S,2456802.6878; Location: RA=09 53 40.077, DE=-45 39 33.06; D: 92.4; V: 12.3; Depth(Mag): 0.0215",GMUObservatory,False
WASP-46 (mag=0.0204),5/25/14,02:40:43 AM,5/25/14,05:01:05 AM,False,"WASP-46; Prediction URL: 'predict_detail.php?STARNAME=WASP-46&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 67°N,2456802.6255; End Transit: 64°NW,2456802.6952; Location: RA=21 14 56.86, DE=-55 52 18.1; D: 100.4; V: 12.9; Depth(Mag): 0.0204",GMUObservatory,False
WASP-96 (mag=0.0149),5/25/14,04:22:31 AM,5/25/14,07:28:06 AM,False,"WASP-96; Prediction URL: 'predict_detail.php?STARNAME=WASP-96&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 60°N,2456802.6962; End Transit: 58°NW,2456802.7973; Location: RA=00 04 11.14, DE=-47 21 38.2; D: 145.58; V: 12.2; Depth(Mag): 0.0149",GMUObservatory,False
OGLE-TR-113 (mag=0.0245),5/26/14,03:56:53 AM,5/26/14,06:28:55 AM,False,"OGLE-TR-113; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-113&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 48°S,2456803.6784; End Transit: 50°SE,2456803.7562; Location: RA=10 52 24, DE=-61 26 48; D: 112; V: 14.42; Depth(Mag): 0.0245",GMUObservatory,False
WASP-18 (mag=0.0108),5/29/14,03:40:20 AM,5/29/14,06:28:55 AM,False,"WASP-18; Prediction URL: 'predict_detail.php?STARNAME=WASP-18&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 54°NE,2456806.6669; End Transit: 57°N,2456806.7562; Location: RA=01 37 24.95, DE=-45 40 40.8; D: 128.6; V: 9.29; Depth(Mag): 0.0108",GMUObservatory,False
WASP-18 (mag=0.0108),5/30/14,02:15:57 AM,5/30/14,05:04:32 AM,False,"WASP-18; Prediction URL: 'predict_detail.php?STARNAME=WASP-18&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 50°E,2456807.6083; End Transit: 56°NE,2456807.6976; Location: RA=01 37 24.95, DE=-45 40 40.8; D: 128.6; V: 9.29; Depth(Mag): 0.0108",GMUObservatory,False
OGLE-TR-211 (mag=0.0084),5/30/14,02:09:36 AM,5/30/14,06:31:39 AM,False,"OGLE-TR-211; Prediction URL: 'predict_detail.php?STARNAME=OGLE-TR-211&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 50°S,2456807.6039; End Transit: 51°SE,2456807.7581; Location: RA=10 40 14.51, DE=-62 27 19.8; D: 222; V: 14.3; Depth(Mag): 0.0084",GMUObservatory,False
WASP-44 (mag=0.0183),5/31/14,02:41:26 AM,5/31/14,05:36:13 AM,False,"WASP-44; Prediction URL: 'predict_detail.php?STARNAME=WASP-44&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 21°NE,2456808.6260; End Transit: 23°N,2456808.7196; Location: RA=00 15 36.76, DE=-11 56 17.4; D: 134.8; V: 12.9; Depth(Mag): 0.0183",GMUObservatory,False
WASP-75 (mag=0.0116),5/31/14,04:04:05 AM,5/31/14,06:42:27 AM,False,"WASP-75; Prediction URL: 'predict_detail.php?STARNAME=WASP-75&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 22°N,2456808.6834; End Transit: 19°NW,2456808.7656; Location: RA=22 49 32.57, DE=-10 40 32.0 ; D: 118.37; V: 11.45; Depth(Mag): 0.0116",GMUObservatory,False
WASP-19 (mag=0.0215),6/1/14,05:01:24 AM,6/1/14,07:13:51 AM,False,"WASP-19; Prediction URL: 'predict_detail.php?STARNAME=WASP-19&PLANET=b&delka=38.8526&sirka=-77.3044'; Begining Transit: 35°SE,2456809.7232; End Transit: 38°SE,2456809.7874; Location: RA=09 53 40.077, DE=-45 39 33.06; D: 92.4; V: 12.3; Depth(Mag): 0.0215",GMUObservatory,False
